TOLLGATE_ID,INTERSECTION_ID,SA00,SA01,SA02,SA03,SA04,SA05,SB00,SB01,SB02,SB03,SB04,SB05,TRN_STA,TRN_END,TST_STA,TST_END,DAY1MEAN,DAY1MAX,DAY1MIN,DAY1MEDIAN,DAY1STD,DAY2MEAN,DAY2MAX,DAY2MIN,DAY2MEDIAN,DAY2STD,DAY3MEAN,DAY3MAX,DAY3MIN,DAY3MEDIAN,DAY3STD
2.0,A,83.07,65.69,37.85,67.94,52.25,55.26,45.63,60.5,60.63,65.36,57.04,63.97,2016-07-22 03:00:00,2016-07-22 04:40:00,2016-07-22 05:00:00,2016-07-22 06:40:00,58.507999999999996,83.48,47.21,50.25,15.032987726995591,66.55666666666666,105.65,18.59,62.495,32.64826713114597,47.541999999999994,62.11,39.43,46.12,8.831844088297755
2.0,A,65.69,37.85,67.94,52.25,55.26,45.63,60.5,60.63,65.36,57.04,63.97,132.22,2016-07-22 03:20:00,2016-07-22 05:00:00,2016-07-22 05:20:00,2016-07-22 07:00:00,58.678,83.48,48.06,50.25,14.877283690243997,64.73833333333333,105.65,18.59,57.03999999999999,33.338217958773186,47.87833333333333,62.11,39.43,47.125,7.942285355404114
2.0,A,37.85,67.94,52.25,55.26,45.63,60.5,60.63,65.36,57.04,63.97,132.22,100.39,2016-07-22 03:40:00,2016-07-22 05:20:00,2016-07-22 05:40:00,2016-07-22 07:20:00,56.528,83.48,39.5,49.89,17.02194377854656,71.25166666666667,105.65,49.4,60.995,25.388719870577695,50.03166666666667,62.11,39.43,48.845,7.752954060657569
2.0,A,67.94,52.25,55.26,45.63,60.5,60.63,65.36,57.04,63.97,132.22,100.39,65.35,2016-07-22 04:00:00,2016-07-22 05:40:00,2016-07-22 06:00:00,2016-07-22 07:40:00,51.17,61.71,39.5,49.89,8.500902893222577,62.166666666666664,105.65,46.2,53.715,22.30472924441511,53.13999999999999,62.11,46.12,52.2,6.244219727075594
2.0,A,52.25,55.26,45.63,60.5,60.63,65.36,57.04,63.97,132.22,100.39,65.35,75.53,2016-07-22 04:20:00,2016-07-22 06:00:00,2016-07-22 06:20:00,2016-07-22 08:00:00,53.17166666666666,63.18,39.5,53.29,9.047225910005048,51.90833333333333,64.32,44.1,49.58,7.638173647323464,52.845,62.11,46.12,52.2,6.561974550392588
2.0,A,55.26,45.63,60.5,60.63,65.36,57.04,63.97,132.22,100.39,65.35,75.53,77.43,2016-07-22 04:40:00,2016-07-22 06:20:00,2016-07-22 06:40:00,2016-07-22 08:20:00,59.36166666666666,87.03,39.5,59.2,16.217165494212193,51.16666666666666,59.87,44.1,49.58,6.288827129653562,50.591666666666676,58.08,46.12,49.075,4.839365316512763
3.0,B,195.47,96.23,154.3,195.81,189.33,75.94,72.47,90.79,88.86,180.59,126.73,217.6,2016-07-22 04:40:00,2016-07-22 06:20:00,2016-07-22 06:40:00,2016-07-22 08:20:00,151.74,166.81,136.67,151.74,21.312198384962553,186.2266666666667,386.44,59.88,112.36,175.36411187393313,134.54999999999998,209.66,55.25,136.64499999999998,63.53889674836981
2.0,A,45.63,60.5,60.63,65.36,57.04,63.97,132.22,100.39,65.35,75.53,77.43,70.94,2016-07-22 05:00:00,2016-07-22 06:40:00,2016-07-22 07:00:00,2016-07-22 08:40:00,59.966666666666676,87.03,39.5,59.935,16.3890935279126,57.73499999999999,88.81,44.1,53.715,16.448636113672162,54.01166666666668,66.64,46.36,52.2,7.542838767113258
3.0,B,96.23,154.3,195.81,189.33,75.94,72.47,90.79,88.86,180.59,126.73,217.6,121.92,2016-07-22 05:00:00,2016-07-22 06:40:00,2016-07-22 07:00:00,2016-07-22 08:40:00,119.80000000000001,166.81,55.92,136.67,57.337559243483675,209.79666666666665,386.44,112.36,130.59,153.24892702180114,145.03750000000002,209.66,97.2,136.64499999999998,47.53299231411098
2.0,A,60.5,60.63,65.36,57.04,63.97,132.22,100.39,65.35,75.53,77.43,70.94,69.42,2016-07-22 05:20:00,2016-07-22 07:00:00,2016-07-22 07:20:00,2016-07-22 09:00:00,64.95833333333333,87.03,39.5,64.26,16.597015896439537,62.416666666666664,88.81,44.1,58.769999999999996,17.676497013454522,56.531666666666666,66.64,46.36,56.46,8.25064462128061
3.0,B,154.3,195.81,189.33,75.94,72.47,90.79,88.86,180.59,126.73,217.6,121.92,161.56,2016-07-22 05:20:00,2016-07-22 07:00:00,2016-07-22 07:20:00,2016-07-22 09:00:00,141.4975,206.59,55.92,151.74,63.83460262010461,187.935,386.44,112.36,126.47,132.54641564372838,122.22999999999999,145.94,97.2,122.89,20.242853883119672
2.0,A,60.63,65.36,57.04,63.97,132.22,100.39,65.35,75.53,77.43,70.94,69.42,78.81,2016-07-22 05:40:00,2016-07-22 07:20:00,2016-07-22 07:40:00,2016-07-22 09:20:00,76.66333333333334,109.73,56.69,71.67500000000001,19.553198885774847,68.62500000000001,94.92,44.1,68.86,21.748416723982462,61.671666666666674,85.68,46.36,61.38,14.34302397218476
