TOLLGATE_ID,INTERSECTION_ID,SA00,SA01,SA02,SA03,SA04,SA05,TRN_STA,TRN_END,DAY1MEAN,DAY1MAX,DAY1MIN,DAY1MEDIAN,DAY1STD,DAY2MEAN,DAY2MAX,DAY2MIN,DAY2MEDIAN,DAY2STD,DAY3MEAN,DAY3MAX,DAY3MIN,DAY3MEDIAN,DAY3STD,SUM_LENGTH,SI00,SI01,SI02,SI03,SI04,SI05,SI06,SI07,SI08,FIX,RATIO,ROUTE_HOUR_head,ROUTE_PCT_head,ROUTE_MIN_TTIME,ROUTE_MAX_TTIME,ROUTE_LAST_TTIME,ROUTE_MEAN_TTIME,TST_STA,XTST_END,TSTW00,TSTW01,TSTW02,TSTW03,TSTW04,TRNW00,TRNW01,TRNW02,TRNW03,TRNW04,TOLLGATE_ID01,TOLLGATE_ID02,TOLLGATE_ID03,INTERSECTION_ID01,INTERSECTION_ID02,INTERSECTION_ID03,TIME_MEAN,TIME_STD,TIME_MIN,TIME_MAX,TIME_Median,TRN_START_HOUR,TRN_END_HOUR,DAYOFW
2,A,41.1,43.68,68.02,52.61,56.17,63.6,2016-10-18 06:00:00,2016-10-18 06:00:00,56.598333333333336,72.16,43.74,55.28,10.555528251426672,51.60333333333333,73.32,39.0,46.71,12.93524436053168,40.185,68.57,14.97,38.63,26.14588208494791,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585128,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135,2016-10-18 08:00:00,2016-10-18 09:40:00,75.3987018694944,0.9,1012.75,1017.75,166.5,74.98180305185187,0.0,1012.5,1017.5,128.0,0,1,0,1,0,0,54.19666666666668,10.658721624410061,41.1,68.02,54.39,6,6,1
3,A,69.48,142.01,233.68,143.65,151.51,207.71,2016-10-18 06:00:00,2016-10-18 06:00:00,155.6916666666667,211.71,68.25,161.86,49.847593890444365,98.28833333333336,109.48,86.11,99.23,9.879318633725038,161.9716666666667,266.44,86.17,150.87,61.29158716061011,852,1.0877593175467717,1.0343430602504002,1.0055119054879875,0.9732037721245056,1.0048819418848,0.9651042400835212,0.9860730285896252,0.9778385043479576,0.9652842296844318,111.11753067287256,1.0516426893060409,9,0.06681380681709448,0.17582417582417584,22.934065934065927,22.758241758241766,12.511789475590279,2016-10-18 08:00:00,2016-10-18 09:40:00,75.3987018694944,0.9,1012.75,1017.75,166.5,74.98180305185187,0.0,1012.5,1017.5,128.0,0,0,1,1,0,0,158.0066666666667,57.51184109960893,69.48,233.68,147.57999999999996,6,6,1
1,B,57.82,48.68,112.52,97.32,97.32,129.44,2016-10-18 06:00:00,2016-10-18 06:00:00,103.838,136.97,75.72,88.24,27.660638459731906,127.94833333333334,157.85,107.09,126.61,19.316378973986467,101.62333333333332,126.77,81.95,100.715,20.38014098740896,821,1.02900866904287,1.0533666682268772,0.9513720216376176,0.9813500303402264,0.9679332991726252,0.953845731446644,1.0197554233074846,1.031411208509338,1.0119569483163164,119.2540850683284,0.9768760490352244,14,0.0680798805423783,1.967032967032967,22.01098901098901,20.043956043956047,12.681418474823381,2016-10-18 08:00:00,2016-10-18 09:40:00,75.3987018694944,0.9,1012.75,1017.75,166.5,74.98180305185187,0.0,1012.5,1017.5,128.0,1,0,0,0,1,0,90.51666666666664,31.34045926062135,48.68,129.44,97.32,6,6,1
3,B,54.75,121.02,94.04,120.6,73.4,89.91,2016-10-18 06:00:00,2016-10-18 06:00:00,68.39666666666666,110.83,11.97,76.57,35.59020520686368,106.82166666666666,131.97,90.34,102.845,16.326902237309643,88.68,98.45,77.12,89.445,8.480209903062539,477,1.0284911604529021,1.0045725806193502,0.9900553552098664,0.9689588485754879,1.0054613567652348,0.9930162684217092,0.9937102324557348,1.024938613986887,0.9907955835128271,108.07476515019579,1.0238097080240889,9,0.060640992728673127,0.42857142857142855,22.758241758241766,22.32967032967033,12.755571867052007,2016-10-18 08:00:00,2016-10-18 09:40:00,75.3987018694944,0.9,1012.75,1017.75,166.5,74.98180305185187,0.0,1012.5,1017.5,128.0,0,0,1,0,1,0,92.28666666666665,26.083249541931444,54.75,121.02,91.975,6,6,1
1,C,145.35,136.22,147.82,180.98,136.51,311.04,2016-10-18 06:00:00,2016-10-18 06:00:00,197.6966666666667,224.46,168.88,198.21,17.67666672952417,186.5833333333333,208.9,137.52,197.65,29.03361201550139,153.79333333333332,228.02,94.14,163.81,52.187590351219185,1550,1.0131510000299218,1.0886538951701838,0.9408621412737918,0.9618037004106204,0.9985083353107684,0.9391834021582036,1.0033738334254392,1.0360665663713848,1.0183971258496856,175.72712594871788,0.930645639100516,13,0.06429293103003163,1.8021978021978025,22.054945054945044,20.25274725274725,13.084869212399814,2016-10-18 08:00:00,2016-10-18 09:40:00,75.3987018694944,0.9,1012.75,1017.75,166.5,74.98180305185187,0.0,1012.5,1017.5,128.0,1,0,0,0,0,1,176.32000000000005,68.02268886187903,136.22,311.04,146.58499999999995,6,6,1
3,C,139.53,139.53,104.42,182.06,182.06,182.06,2016-10-18 06:00:00,2016-10-18 06:00:00,197.6966666666667,224.46,168.88,198.21,17.67666672952417,189.78,189.78,189.78,189.78,29.03361201550139,189.10333333333332,189.78,187.75,189.78,1.0482874923734746,1206,1.0144164583686708,1.0515945070797112,0.9522991847529954,0.9770637280995886,0.9838781326446244,0.9504709298750592,0.9881994623561104,1.0662881063091818,1.0157894905140596,180.4999970094317,0.9646460223396522,16,0.07902137568078013,3.2197802197802203,21.978021978021975,18.75824175824176,13.52452445935476,2016-10-18 08:00:00,2016-10-18 09:40:00,75.3987018694944,0.9,1012.75,1017.75,166.5,74.98180305185187,0.0,1012.5,1017.5,128.0,0,0,1,0,0,1,154.94333333333333,32.35332976165925,104.42,182.06,160.79500000000004,6,6,1
2,A,40.01,57.01,37.41,69.58,100.11,58.29,2016-10-19 06:00:00,2016-10-19 06:00:00,54.19666666666668,68.02,41.1,54.39,10.658721624410061,56.598333333333336,72.16,43.74,55.28,10.555528251426672,51.60333333333333,73.32,39.0,46.71,12.93524436053168,384,1.0663177160803043,1.0320358648852992,0.9867175672164054,0.9796558279585128,0.9746805116631798,0.9732360649967928,1.0274028149863077,1.0058163620275231,0.9541372701856752,62.3075964619127,1.0332176936494502,8,0.05739597356236325,0.10989010989010987,23.0,22.89010989010989,12.128412391311135,2016-10-19 08:00:00,2016-10-19 09:40:00,70.96193923438314,0.6000000000000001,1010.85,1015.85,92.5,70.62283622386832,1.0,1010.8,1015.8,89.0,0,1,0,1,0,0,60.40166666666667,22.897130315099893,37.41,100.11,57.65,6,6,2
3,A,89.51,161.63,133.43,139.88,171.77,216.15,2016-10-19 06:00:00,2016-10-19 06:00:00,158.0066666666667,233.68,69.48,147.57999999999996,57.51184109960893,155.6916666666667,211.71,68.25,161.86,49.847593890444365,98.28833333333336,109.48,86.11,99.23,9.879318633725038,852,1.0877593175467717,1.0343430602504002,1.0055119054879875,0.9732037721245056,1.0048819418848,0.9651042400835212,0.9860730285896252,0.9778385043479576,0.9652842296844318,111.11753067287256,1.0516426893060409,9,0.06681380681709448,0.17582417582417584,22.934065934065927,22.758241758241766,12.511789475590279,2016-10-19 08:00:00,2016-10-19 09:40:00,70.96193923438314,0.6000000000000001,1010.85,1015.85,92.5,70.62283622386832,1.0,1010.8,1015.8,89.0,0,0,1,1,0,0,152.06166666666667,42.41586703895921,89.51,216.15,150.755,6,6,2
1,B,111.04,111.04,85.23,209.86,120.88,92.82,2016-10-19 06:00:00,2016-10-19 06:00:00,90.51666666666664,129.44,48.68,97.32,31.34045926062135,103.838,136.97,75.72,88.24,27.660638459731906,127.94833333333334,157.85,107.09,126.61,19.316378973986467,821,1.02900866904287,1.0533666682268772,0.9513720216376176,0.9813500303402264,0.9679332991726252,0.953845731446644,1.0197554233074846,1.031411208509338,1.0119569483163164,119.2540850683284,0.9768760490352244,14,0.0680798805423783,1.967032967032967,22.01098901098901,20.043956043956047,12.681418474823381,2016-10-19 08:00:00,2016-10-19 09:40:00,70.96193923438314,0.6000000000000001,1010.85,1015.85,92.5,70.62283622386832,1.0,1010.8,1015.8,89.0,1,0,0,0,1,0,121.81166666666668,45.08695971860009,85.23,209.86,111.04,6,6,2
3,B,102.83,106.34,106.34,141.43,73.72,80.27,2016-10-19 06:00:00,2016-10-19 06:00:00,92.28666666666665,121.02,54.75,91.975,26.083249541931444,68.39666666666666,110.83,11.97,76.57,35.59020520686368,106.82166666666666,131.97,90.34,102.845,16.326902237309643,477,1.0284911604529021,1.0045725806193502,0.9900553552098664,0.9689588485754879,1.0054613567652348,0.9930162684217092,0.9937102324557348,1.024938613986887,0.9907955835128271,108.07476515019579,1.0238097080240889,9,0.060640992728673127,0.42857142857142855,22.758241758241766,22.32967032967033,12.755571867052007,2016-10-19 08:00:00,2016-10-19 09:40:00,70.96193923438314,0.6000000000000001,1010.85,1015.85,92.5,70.62283622386832,1.0,1010.8,1015.8,89.0,0,0,1,0,1,0,101.82166666666666,23.93677289583261,73.72,141.43,104.585,6,6,2
