SB00,SB01,SB02,SB03,SB04,SB05
54.84,58.08,46.36,48.59,66.64,64.68
58.08,46.36,48.59,66.64,64.68,85.68
46.36,48.59,66.64,64.68,85.68,58.97
48.59,66.64,64.68,85.68,58.97,81.6
66.64,64.68,85.68,58.97,81.6,80.21
64.68,85.68,58.97,81.6,80.21,63.45
85.68,58.97,81.6,80.21,63.45,78.05
58.97,81.6,80.21,63.45,78.05,69.04
81.6,80.21,63.45,78.05,69.04,69.66
137.38,165.48,136.68,192.68,159.78,129.28
125.76,141.33,176.08,165.29,127.38,117.83
80.21,63.45,78.05,69.04,69.66,78.31
165.48,136.68,192.68,159.78,129.28,99.04
141.33,176.08,165.29,127.38,117.83,98.92
63.45,78.05,69.04,69.66,78.31,59.41
136.68,192.68,159.78,129.28,99.04,129.3
176.08,165.29,127.38,117.83,98.92,113.0
78.05,69.04,69.66,78.31,59.41,75.49
192.68,159.78,129.28,99.04,129.3,121.1
165.29,127.38,117.83,98.92,113.0,98.15
69.04,69.66,78.31,59.41,75.49,72.44
159.78,129.28,99.04,129.3,121.1,104.79
127.38,117.83,98.92,113.0,98.15,95.98
69.66,78.31,59.41,75.49,72.44,45.94
129.28,99.04,129.3,121.1,104.79,82.08
117.83,98.92,113.0,98.15,95.98,84.36
78.31,59.41,75.49,72.44,45.94,47.98
99.04,129.3,121.1,104.79,82.08,86.68
98.92,113.0,98.15,95.98,84.36,96.54
59.41,75.49,72.44,45.94,47.98,60.17
129.3,121.1,104.79,82.08,86.68,108.73
113.0,98.15,95.98,84.36,96.54,144.87
75.49,72.44,45.94,47.98,60.17,49.53
121.1,104.79,82.08,86.68,108.73,95.43
98.15,95.98,84.36,96.54,144.87,136.36
72.44,45.94,47.98,60.17,49.53,52.17
104.79,82.08,86.68,108.73,95.43,96.38
95.98,84.36,96.54,144.87,136.36,129.5
45.94,47.98,60.17,49.53,52.17,57.83
82.08,86.68,108.73,95.43,96.38,99.29
84.36,96.54,144.87,136.36,129.5,116.47
47.98,60.17,49.53,52.17,57.83,57.09
86.68,108.73,95.43,96.38,99.29,93.23
96.54,144.87,136.36,129.5,116.47,119.37
60.17,49.53,52.17,57.83,57.09,61.13
108.73,95.43,96.38,99.29,93.23,102.92
144.87,136.36,129.5,116.47,119.37,176.65
49.53,52.17,57.83,57.09,61.13,65.11
95.43,96.38,99.29,93.23,102.92,96.92
136.36,129.5,116.47,119.37,176.65,159.46
52.17,57.83,57.09,61.13,65.11,74.71
96.38,99.29,93.23,102.92,96.92,101.41
129.5,116.47,119.37,176.65,159.46,129.48
57.83,57.09,61.13,65.11,74.71,63.83
99.29,93.23,102.92,96.92,101.41,100.74
116.47,119.37,176.65,159.46,129.48,120.24
57.09,61.13,65.11,74.71,63.83,79.42
93.23,102.92,96.92,101.41,100.74,106.76
119.37,176.65,159.46,129.48,120.24,115.29
61.13,65.11,74.71,63.83,79.42,72.31
102.92,96.92,101.41,100.74,106.76,102.51
176.65,159.46,129.48,120.24,115.29,129.47
65.11,74.71,63.83,79.42,72.31,58.74
96.92,101.41,100.74,106.76,102.51,112.32
159.46,129.48,120.24,115.29,129.47,120.76
74.71,63.83,79.42,72.31,58.74,59.64
101.41,100.74,106.76,102.51,112.32,126.61
129.48,120.24,115.29,129.47,120.76,116.07
63.83,79.42,72.31,58.74,59.64,51.97
100.74,106.76,102.51,112.32,126.61,95.45
120.24,115.29,129.47,120.76,116.07,152.5
79.42,72.31,58.74,59.64,51.97,61.6
106.76,102.51,112.32,126.61,95.45,116.14
115.29,129.47,120.76,116.07,152.5,101.66
72.31,58.74,59.64,51.97,61.6,105.39
102.51,112.32,126.61,95.45,116.14,182.46
129.47,120.76,116.07,152.5,101.66,139.36
58.74,59.64,51.97,61.6,105.39,83.83
112.32,126.61,95.45,116.14,182.46,114.1
120.76,116.07,152.5,101.66,139.36,103.67
59.64,51.97,61.6,105.39,83.83,65.67
126.61,95.45,116.14,182.46,114.1,102.47
116.07,152.5,101.66,139.36,103.67,109.3
51.97,61.6,105.39,83.83,65.67,85.11
95.45,116.14,182.46,114.1,102.47,99.14
152.5,101.66,139.36,103.67,109.3,108.3
61.6,105.39,83.83,65.67,85.11,50.57
116.14,182.46,114.1,102.47,99.14,109.12
101.66,139.36,103.67,109.3,108.3,91.94
105.39,83.83,65.67,85.11,50.57,65.07
182.46,114.1,102.47,99.14,109.12,132.73
139.36,103.67,109.3,108.3,91.94,106.92
83.83,65.67,85.11,50.57,65.07,67.33
114.1,102.47,99.14,109.12,132.73,108.42
65.67,85.11,50.57,65.07,67.33,79.85
102.47,99.14,109.12,132.73,108.42,121.27
85.11,50.57,65.07,67.33,79.85,89.64
99.14,109.12,132.73,108.42,121.27,128.92
50.57,65.07,67.33,79.85,89.64,87.94
109.12,132.73,108.42,121.27,128.92,113.02
65.07,67.33,79.85,89.64,87.94,44.09
132.73,108.42,121.27,128.92,113.02,105.55
67.33,79.85,89.64,87.94,44.09,64.16
108.42,121.27,128.92,113.02,105.55,106.33
79.85,89.64,87.94,44.09,64.16,68.48
121.27,128.92,113.02,105.55,106.33,115.59
89.64,87.94,44.09,64.16,68.48,59.09
128.92,113.02,105.55,106.33,115.59,106.2
87.94,44.09,64.16,68.48,59.09,51.18
44.09,64.16,68.48,59.09,51.18,46.09
64.16,68.48,59.09,51.18,46.09,91.85
68.48,59.09,51.18,46.09,91.85,47.02
59.09,51.18,46.09,91.85,47.02,54.59
51.18,46.09,91.85,47.02,54.59,84.37
46.09,91.85,47.02,54.59,84.37,67.96
18.68,33.89,60.67,18.59,100.71,105.65
33.89,60.67,18.59,100.71,105.65,64.32
60.67,18.59,100.71,105.65,64.32,49.4
18.59,100.71,105.65,64.32,49.4,49.76
100.71,105.65,64.32,49.4,49.76,57.67
105.65,64.32,49.4,49.76,57.67,46.2
64.32,49.4,49.76,57.67,46.2,44.1
49.4,49.76,57.67,46.2,44.1,59.87
49.76,57.67,46.2,44.1,59.87,88.81
57.67,46.2,44.1,59.87,88.81,77.85
46.2,44.1,59.87,88.81,77.85,94.92
44.1,59.87,88.81,77.85,94.92,73.68
59.87,88.81,77.85,94.92,73.68,61.01
88.81,77.85,94.92,73.68,61.01,332.16
77.85,94.92,73.68,61.01,332.16,50.99
94.92,73.68,61.01,332.16,50.99,44.94
182.66,127.68,134.42,114.74,142.06,170.11
276.98,242.85,269.83,250.81,175.94,118.92
242.85,269.83,250.81,175.94,118.92,127.88
269.83,250.81,175.94,118.92,127.88,89.53
250.81,175.94,118.92,127.88,89.53,143.12
175.94,118.92,127.88,89.53,143.12,107.66
118.92,127.88,89.53,143.12,107.66,105.16
127.88,89.53,143.12,107.66,105.16,109.57
89.53,143.12,107.66,105.16,109.57,129.93
143.12,107.66,105.16,109.57,129.93,97.96
60.48,53.99,49.55,55.28,81.49,50.82
107.66,105.16,109.57,129.93,97.96,128.07
53.99,49.55,55.28,81.49,50.82,73.5
105.16,109.57,129.93,97.96,128.07,99.35
49.55,55.28,81.49,50.82,73.5,66.64
109.57,129.93,97.96,128.07,99.35,115.73
47.27,82.82,117.0,65.45,127.1,95.36
55.28,81.49,50.82,73.5,66.64,57.33
81.49,50.82,73.5,66.64,57.33,53.57
50.82,73.5,66.64,57.33,53.57,62.18
73.5,66.64,57.33,53.57,62.18,64.33
66.64,57.33,53.57,62.18,64.33,70.33
57.33,53.57,62.18,64.33,70.33,67.11
53.57,62.18,64.33,70.33,67.11,82.79
62.18,64.33,70.33,67.11,82.79,52.87
64.33,70.33,67.11,82.79,52.87,50.16
70.33,67.11,82.79,52.87,50.16,81.35
67.11,82.79,52.87,50.16,81.35,75.48
82.79,52.87,50.16,81.35,75.48,67.89
215.61,124.97,248.15,125.53,175.44,213.84
52.87,50.16,81.35,75.48,67.89,85.1
124.92,108.08,168.57,123.79,114.3,102.69
98.73,114.94,131.36,134.24,101.55,113.77
50.16,81.35,75.48,67.89,85.1,78.33
108.08,168.57,123.79,114.3,102.69,202.54
114.94,131.36,134.24,101.55,113.77,89.67
81.35,75.48,67.89,85.1,78.33,93.49
168.57,123.79,114.3,102.69,202.54,140.05
131.36,134.24,101.55,113.77,89.67,114.53
75.48,67.89,85.1,78.33,93.49,56.44
123.79,114.3,102.69,202.54,140.05,149.02
134.24,101.55,113.77,89.67,114.53,90.8
67.89,85.1,78.33,93.49,56.44,52.1
114.3,102.69,202.54,140.05,149.02,137.11
101.55,113.77,89.67,114.53,90.8,103.43
85.1,78.33,93.49,56.44,52.1,57.61
102.69,202.54,140.05,149.02,137.11,116.09
113.77,89.67,114.53,90.8,103.43,91.33
78.33,93.49,56.44,52.1,57.61,52.58
202.54,140.05,149.02,137.11,116.09,113.43
89.67,114.53,90.8,103.43,91.33,156.44
93.49,56.44,52.1,57.61,52.58,123.65
140.05,149.02,137.11,116.09,113.43,115.26
114.53,90.8,103.43,91.33,156.44,78.35
56.44,52.1,57.61,52.58,123.65,80.38
149.02,137.11,116.09,113.43,115.26,427.92
90.8,103.43,91.33,156.44,78.35,85.88
52.1,57.61,52.58,123.65,80.38,50.84
137.11,116.09,113.43,115.26,427.92,102.57
57.61,52.58,123.65,80.38,50.84,68.68
116.09,113.43,115.26,427.92,102.57,110.21
52.58,123.65,80.38,50.84,68.68,55.44
113.43,115.26,427.92,102.57,110.21,108.71
123.65,80.38,50.84,68.68,55.44,44.94
115.26,427.92,102.57,110.21,108.71,88.03
80.38,50.84,68.68,55.44,44.94,66.24
427.92,102.57,110.21,108.71,88.03,145.52
50.84,68.68,55.44,44.94,66.24,49.75
68.68,55.44,44.94,66.24,49.75,55.15
55.44,44.94,66.24,49.75,55.15,56.67
44.94,66.24,49.75,55.15,56.67,39.21
87.03,65.34,78.01,109.73,114.72,116.07
65.34,78.01,109.73,114.72,116.07,125.1
78.01,109.73,114.72,116.07,125.1,88.42
109.73,114.72,116.07,125.1,88.42,71.47
114.72,116.07,125.1,88.42,71.47,116.58
116.07,125.1,88.42,71.47,116.58,88.66
125.1,88.42,71.47,116.58,88.66,68.5
88.42,71.47,116.58,88.66,68.5,64.06
